iter	RMSE	RMSE
173	1.655132239	1.655132239
174	1.654860128	1.654860128
175	1.654545387	1.654545387
176	1.654392227	1.654392227
177	1.654038091	1.654038091
178	1.65367771	1.65367771
179	1.653299262	1.653299262
180	1.653199067	1.653199067
181	1.652871143	1.652871143
182	1.652507839	1.652507839
183	1.652220593	1.652220593
184	1.651895352	1.651895352
185	1.651761522	1.651761522
186	1.651512779	1.651512779
187	1.651240753	1.651240753
188	1.65094056	1.65094056
189	1.650666135	1.650666135
190	1.650309051	1.650309051
191	1.650007013	1.650007013
192	1.649672898	1.649672898
193	1.649380912	1.649380912
194	1.649161063	1.649161063
195	1.648818755	1.648818755
196	1.648529554	1.648529554
197	1.648270043	1.648270043
198	1.647877447	1.647877447
199	1.647587137	1.647587137
200	1.647350045	1.647350045
201	1.647166403	1.647166403
202	1.64695198	1.64695198
203	1.646710386	1.646710386
204	1.646489655	1.646489655
205	1.646197524	1.646197524
206	1.646080563	1.646080563
207	1.645773178	1.645773178
208	1.645607118	1.645607118
209	1.645407047	1.645407047
210	1.645205059	1.645205059
211	1.645041412	1.645041412
212	1.644840956	1.644840956
213	1.644580074	1.644580074
214	1.644324514	1.644324514
215	1.644123182	1.644123182
216	1.643962056	1.643962056
217	1.643794814	1.643794814
218	1.64354818	1.64354818
219	1.643316134	1.643316134
220	1.643112258	1.643112258
221	1.642980133	1.642980133
222	1.642796161	1.642796161
223	1.642666642	1.642666642
224	1.642531165	1.642531165
225	1.642328507	1.642328507
226	1.642190159	1.642190159
227	1.642039322	1.642039322
228	1.64186309	1.64186309
229	1.64166114	1.64166114
230	1.641507568	1.641507568
231	1.641300939	1.641300939
232	1.641168036	1.641168036
233	1.640921217	1.640921217
234	1.640758249	1.640758249
235	1.64056254	1.64056254
236	1.640431	1.640431
237	1.640308831	1.640308831
238	1.640196141	1.640196141
239	1.640056822	1.640056822
240	1.63991823	1.63991823
241	1.639782895	1.639782895
242	1.639650818	1.639650818
243	1.639457824	1.639457824
244	1.639286431	1.639286431
245	1.639138912	1.639138912
246	1.63894839	1.63894839
247	1.638841251	1.638841251
248	1.638662249	1.638662249
249	1.638501641	1.638501641
250	1.638323393	1.638323393
251	1.638167397	1.638167397
252	1.638059574	1.638059574
253	1.637978451	1.637978451
254	1.637918384	1.637918384
255	1.637654975	1.637654975
256	1.637530487	1.637530487
257	1.63730873	1.63730873
258	1.637196256	1.637196256
259	1.637033973	1.637033973
260	1.636846586	1.636846586
261	1.636614964	1.636614964
262	1.636471061	1.636471061
263	1.636295339	1.636295339
264	1.636202029	1.636202029
265	1.636015498	1.636015498
266	1.63589152	1.63589152
267	1.635725196	1.635725196
268	1.635538981	1.635538981
269	1.635371987	1.635371987
270	1.635238074	1.635238074
271	1.635039641	1.635039641
272	1.634949379	1.634949379
273	1.634922834	1.634922834
274	1.634800253	1.634800253
275	1.634683587	1.634683587
276	1.634583838	1.634583838
277	1.634427538	1.634427538
278	1.634356497	1.634356497
279	1.63420155	1.63420155
280	1.634174781	1.634174781
281	1.634041669	1.634041669
282	1.63396733	1.63396733
283	1.63385161	1.63385161
284	1.633797266	1.633797266
285	1.633696722	1.633696722
286	1.633626654	1.633626654
287	1.633487093	1.633487093
288	1.633326242	1.633326242
289	1.633288184	1.633288184
290	1.633223816	1.633223816
291	1.633096555	1.633096555
292	1.633013015	1.633013015
293	1.63295139	1.63295139
294	1.632738489	1.632738489
295	1.63262247	1.63262247
296	1.632544148	1.632544148
297	1.632451576	1.632451576
298	1.632394855	1.632394855
299	1.632313716	1.632313716
300	1.632166309	1.632166309
301	1.632021696	1.632021696
302	1.631920142	1.631920142
303	1.631737254	1.631737254
304	1.631684111	1.631684111
305	1.631483127	1.631483127
306	1.631343382	1.631343382
307	1.631215551	1.631215551
308	1.631155554	1.631155554
309	1.63101981	1.63101981
310	1.630808194	1.630808194
311	1.630767532	1.630767532
312	1.63063377	1.63063377
313	1.630574971	1.630574971
314	1.630555883	1.630555883
315	1.630458586	1.630458586
316	1.630242071	1.630242071
317	1.63012736	1.63012736
318	1.629984422	1.629984422
319	1.629948779	1.629948779
320	1.629935147	1.629935147
321	1.629916264	1.629916264
322	1.629854575	1.629854575
323	1.629724399	1.629724399
324	1.629680368	1.629680368
325	1.629579835	1.629579835
326	1.629510864	1.629510864
327	1.629385329	1.629385329
328	1.629312689	1.629312689
329	1.629124043	1.629124043
330	1.628949863	1.628949863
331	1.628827364	1.628827364
332	1.628752629	1.628752629
333	1.628628841	1.628628841
334	1.628575066	1.628575066
335	1.628556857	1.628556857
336	1.628467191	1.628467191
337	1.628329789	1.628329789
338	1.628194288	1.628194288
339	1.628004024	1.628004024
340	1.627893244	1.627893244
341	1.627875718	1.627875718
342	1.627781872	1.627781872
343	1.627708204	1.627708204
344	1.627614614	1.627614614
345	1.627521656	1.627521656
346	1.627439795	1.627439795
347	1.627357665	1.627357665
348	1.627351874	1.627351874
349	1.627351555	1.627351555
350	1.627305494	1.627305494
351	1.62728674	1.62728674
352	1.627229467	1.627229467
353	1.627115978	1.627115978
354	1.626968206	1.626968206
355	1.626954868	1.626954868
356	1.626916395	1.626916395
357	1.626804319	1.626804319
358	1.626754841	1.626754841
359	1.626678947	1.626678947
360	1.62658078	1.62658078
361	1.626566854	1.626566854
362	1.626450767	1.626450767
363	1.62630974	1.62630974
364	1.626271304	1.626271304
365	1.626201343	1.626201343
366	1.626074489	1.626074489
367	1.625890944	1.625890944
368	1.625846224	1.625846224
369	1.625812298	1.625812298
370	1.625759227	1.625759227
371	1.625743008	1.625743008
372	1.625683075	1.625683075
373	1.625566233	1.625566233
374	1.625470817	1.625470817
375	1.625435554	1.625435554
376	1.625414384	1.625414384
377	1.625363322	1.625363322
378	1.625265235	1.625265235
379	1.625105112	1.625105112
380	1.625045581	1.625045581
381	1.624974396	1.624974396
382	1.624948698	1.624948698
383	1.624877881	1.624877881
384	1.624834624	1.624834624
385	1.62474571	1.62474571
386	1.624697394	1.624697394
387	1.624697234	1.624697234
388	1.624618956	1.624618956
389	1.624481442	1.624481442
390	1.624473885	1.624473885
391	1.62441449	1.62441449
392	1.62433375	1.62433375
393	1.624183117	1.624183117
394	1.624021238	1.624021238
395	1.623930682	1.623930682
396	1.623867754	1.623867754
397	1.623742688	1.623742688
398	1.623701956	1.623701956
399	1.623509676	1.623509676
400	1.623482144	1.623482144
401	1.623363067	1.623363067
402	1.623179801	1.623179801
403	1.623137776	1.623137776
404	1.623062459	1.623062459
405	1.623000669	1.623000669
406	1.622948146	1.622948146
407	1.622845704	1.622845704
408	1.622714752	1.622714752
409	1.622700261	1.622700261
410	1.622652576	1.622652576
411	1.622629825	1.622629825
412	1.622584376	1.622584376
413	1.622528216	1.622528216
414	1.622487986	1.622487986
415	1.622478821	1.622478821
416	1.62236777	1.62236777
417	1.622358285	1.622358285
418	1.622318317	1.622318317
419	1.622250316	1.622250316
420	1.622135626	1.622135626
421	1.622048536	1.622048536
422	1.622000353	1.622000353
423	1.621941507	1.621941507
424	1.621781056	1.621781056
425	1.621654017	1.621654017
426	1.621576552	1.621576552
427	1.621568288	1.621568288
428	1.621460374	1.621460374
429	1.621460214	1.621460214
430	1.621430409	1.621430409
431	1.621320032	1.621320032
432	1.621134669	1.621134669
433	1.621043206	1.621043206
434	1.62093515	1.62093515
435	1.620822233	1.620822233
436	1.620761424	1.620761424
437	1.620735286	1.620735286
438	1.620527929	1.620527929
439	1.620375289	1.620375289
440	1.620303578	1.620303578
441	1.620242163	1.620242163
442	1.620146541	1.620146541
443	1.620063667	1.620063667
444	1.620020387	1.620020387
445	1.619910022	1.619910022
446	1.619906606	1.619906606
447	1.619869247	1.619869247
448	1.619777339	1.619777339
449	1.619677045	1.619677045
450	1.619624734	1.619624734
451	1.619600286	1.619600286
452	1.619546051	1.619546051
453	1.619438055	1.619438055
454	1.619438002	1.619438002
455	1.619418089	1.619418089
456	1.619302397	1.619302397
457	1.619299033	1.619299033
458	1.619180182	1.619180182
459	1.619134957	1.619134957
460	1.619084764	1.619084764
461	1.619051871	1.619051871
462	1.618946673	1.618946673
463	1.618790251	1.618790251
464	1.618763868	1.618763868
465	1.618697267	1.618697267
466	1.618674034	1.618674034
467	1.618643322	1.618643322
468	1.618491572	1.618491572
469	1.618435163	1.618435163
470	1.618361604	1.618361604
471	1.618282966	1.618282966
472	1.618220352	1.618220352
473	1.618219711	1.618219711
474	1.618206515	1.618206515
475	1.618073371	1.618073371
476	1.618047938	1.618047938
477	1.617952399	1.617952399
478	1.617892498	1.617892498
479	1.617800691	1.617800691
480	1.617761306	1.617761306
481	1.617704978	1.617704978
482	1.617703108	1.617703108
483	1.617568159	1.617568159
484	1.617467087	1.617467087
485	1.617420531	1.617420531
486	1.617332225	1.617332225
487	1.617196764	1.617196764
488	1.617146618	1.617146618
489	1.617138973	1.617138973
490	1.617116412	1.617116412
491	1.617038516	1.617038516
492	1.616965	1.616965
493	1.616923937	1.616923937
494	1.61686111	1.61686111
495	1.616795981	1.616795981
496	1.616775768	1.616775768
497	1.616752293	1.616752293
498	1.616557207	1.616557207
499	1.616499768	1.616499768
500	1.616341077	1.616341077
501	1.616275018	1.616275018
502	1.616170977	1.616170977
503	1.616053233	1.616053233
504	1.616044192	1.616044192
505	1.615966993	1.615966993
506	1.615866944	1.615866944
507	1.615760683	1.615760683
508	1.615713703	1.615713703
509	1.615668862	1.615668862
510	1.61564125	1.61564125
511	1.615566333	1.615566333
512	1.615465992	1.615465992
513	1.615396098	1.615396098
514	1.615314746	1.615314746
515	1.615274497	1.615274497
516	1.615198279	1.615198279
517	1.615130192	1.615130192
518	1.615052736	1.615052736
519	1.615001345	1.615001345
520	1.614997063	1.614997063
521	1.614925221	1.614925221
522	1.614879394	1.614879394
523	1.614789826	1.614789826
524	1.614675247	1.614675247
525	1.614644353	1.614644353
526	1.614585025	1.614585025
527	1.614543419	1.614543419
528	1.614423468	1.614423468
529	1.614345121	1.614345121
530	1.614285192	1.614285192
531	1.61426693	1.61426693
532	1.614253112	1.614253112
533	1.61418745	1.61418745
534	1.614142299	1.614142299
535	1.614139031	1.614139031
536	1.614032228	1.614032228
537	1.61396736	1.61396736
538	1.61394154	1.61394154
539	1.613873562	1.613873562
540	1.613797545	1.613797545
541	1.613712631	1.613712631
542	1.613692272	1.613692272
543	1.613628355	1.613628355
544	1.613542842	1.613542842
545	1.613519535	1.613519535
546	1.613476187	1.613476187
547	1.613463434	1.613463434
548	1.613400847	1.613400847
549	1.613253427	1.613253427
550	1.613187564	1.613187564
551	1.613159159	1.613159159
552	1.613149566	1.613149566
553	1.61308402	1.61308402
554	1.612929549	1.612929549
555	1.612865869	1.612865869
556	1.612760857	1.612760857
557	1.612756086	1.612756086
558	1.612678944	1.612678944
559	1.612623779	1.612623779
560	1.612522183	1.612522183
561	1.612419133	1.612419133
562	1.61236235	1.61236235
563	1.612169092	1.612169092
564	1.612085969	1.612085969
565	1.611952481	1.611952481
566	1.611922768	1.611922768
567	1.611827886	1.611827886
568	1.611581563	1.611581563
569	1.611447174	1.611447174
570	1.611447335	1.611447335
571	1.611412086	1.611412086
572	1.611360151	1.611360151
573	1.611302848	1.611302848
574	1.611170046	1.611170046
575	1.611125025	1.611125025
576	1.611029881	1.611029881
577	1.610964517	1.610964517
578	1.610930385	1.610930385
579	1.610842636	1.610842636
580	1.610829272	1.610829272
581	1.610821651	1.610821651
582	1.610757137	1.610757137
583	1.610629711	1.610629711
584	1.610448056	1.610448056
585	1.610443815	1.610443815
586	1.610439144	1.610439144
587	1.610415362	1.610415362
588	1.610316526	1.610316526
589	1.61020324	1.61020324
590	1.610151158	1.610151158
591	1.610137627	1.610137627
592	1.61007722	1.61007722
593	1.61003523	1.61003523
594	1.609950869	1.609950869
595	1.609900927	1.609900927
596	1.609866074	1.609866074
597	1.609864893	1.609864893
598	1.609836215	1.609836215
599	1.609831811	1.609831811
600	1.60970544	1.60970544
601	1.609636853	1.609636853
602	1.609617141	1.609617141
603	1.609582175	1.609582175
604	1.609557843	1.609557843
605	1.609474316	1.609474316
606	1.609449822	1.609449822
607	1.60930392	1.60930392
608	1.609259653	1.609259653
609	1.609149623	1.609149623
610	1.609078058	1.609078058
611	1.609011701	1.609011701
612	1.608948941	1.608948941
613	1.608833893	1.608833893
614	1.608701425	1.608701425
615	1.60864838	1.60864838
616	1.608641233	1.608641233
617	1.608612641	1.608612641
618	1.608564807	1.608564807
619	1.608501869	1.608501869
620	1.60847924	1.60847924
621	1.608431295	1.608431295
622	1.608394153	1.608394153
623	1.608337873	1.608337873
624	1.608297557	1.608297557
625	1.608257778	1.608257778
626	1.608252348	1.608252348
627	1.608245736	1.608245736
628	1.608193806	1.608193806
629	1.608170797	1.608170797
630	1.608149831	1.608149831
631	1.608144078	1.608144078
632	1.608099026	1.608099026
633	1.608095585	1.608095585
634	1.608046016	1.608046016
635	1.608006875	1.608006875
636	1.607943969	1.607943969
637	1.607816321	1.607816321
638	1.607780024	1.607780024
639	1.60773265	1.60773265
640	1.607671077	1.607671077
641	1.607658655	1.607658655
642	1.607567447	1.607567447
643	1.607507696	1.607507696
644	1.607506459	1.607506459
645	1.607467467	1.607467467
646	1.60733225	1.60733225
647	1.607259474	1.607259474
648	1.607130372	1.607130372
649	1.607034992	1.607034992
650	1.607009546	1.607009546
651	1.606892207	1.606892207
652	1.606867565	1.606867565
653	1.606798373	1.606798373
654	1.606745158	1.606745158
655	1.60672385	1.60672385
656	1.606610688	1.606610688
657	1.606559943	1.606559943
658	1.606558705	1.606558705
659	1.606520228	1.606520228
660	1.606513285	1.606513285
661	1.606362381	1.606362381
662	1.606276428	1.606276428
663	1.606248601	1.606248601
664	1.606245049	1.606245049
665	1.606139658	1.606139658
666	1.606137074	1.606137074
667	1.606044111	1.606044111
668	1.60597176	1.60597176
669	1.605971653	1.605971653
670	1.60593117	1.60593117
671	1.605859245	1.605859245
672	1.605850577	1.605850577
673	1.605795124	1.605795124
674	1.605786617	1.605786617
675	1.60577698	1.60577698
676	1.605763789	1.605763789
677	1.60563419	1.60563419
678	1.605461394	1.605461394
679	1.605445454	1.605445454
680	1.605403827	1.605403827
681	1.605337425	1.605337425
682	1.605317445	1.605317445
683	1.605315345	1.605315345
684	1.605279854	1.605279854
685	1.605246893	1.605246893
686	1.605238276	1.605238276
687	1.605110359	1.605110359
688	1.605021968	1.605021968
689	1.604964601	1.604964601
690	1.604923985	1.604923985
691	1.604904161	1.604904161
692	1.604903299	1.604903299
693	1.604900821	1.604900821
694	1.604848352	1.604848352
695	1.604765766	1.604765766
696	1.604761887	1.604761887
697	1.604758493	1.604758493
698	1.604723366	1.604723366
699	1.604652842	1.604652842
700	1.604603759	1.604603759
701	1.604542174	1.604542174
702	1.604512647	1.604512647
703	1.604496428	1.604496428
704	1.604488238	1.604488238
705	1.604487915	1.604487915
706	1.604433276	1.604433276
707	1.60443139	1.60443139
708	1.604345011	1.604345011
709	1.604312193	1.604312193
710	1.604298882	1.604298882
711	1.604255931	1.604255931
712	1.604253237	1.604253237
713	1.604248117	1.604248117
714	1.604232974	1.604232974
715	1.60419083	1.60419083
716	1.604188135	1.604188135
717	1.604109881	1.604109881
718	1.60402316	1.60402316
719	1.604008985	1.604008985
720	1.603999498	1.603999498
721	1.603999444	1.603999444
722	1.603955947	1.603955947
723	1.603819464	1.603819464
724	1.603769493	1.603769493
725	1.603635582	1.603635582
726	1.603635474	1.603635474
727	1.603608464	1.603608464
728	1.603583556	1.603583556
729	1.603553796	1.603553796
730	1.603434101	1.603434101
731	1.603384873	1.603384873
732	1.603288353	1.603288353
733	1.603239066	1.603239066
734	1.603187405	1.603187405
735	1.6031839	1.6031839
736	1.603166589	1.603166589
737	1.603142753	1.603142753
738	1.603136174	1.603136174
739	1.603130673	1.603130673
740	1.603033437	1.603033437
741	1.602993904	1.602993904
742	1.602957823	1.602957823
743	1.602853132	1.602853132
744	1.602811815	1.602811815
745	1.60277751	1.60277751
746	1.602707385	1.602707385
747	1.602680468	1.602680468
748	1.602675828	1.602675828
749	1.602531792	1.602531792
750	1.602531846	1.602531846
751	1.602508432	1.602508432
752	1.6024015	1.6024015
753	1.602375764	1.602375764
754	1.602361304	1.602361304
755	1.602302816	1.602302816
756	1.602215782	1.602215782
757	1.60221589	1.60221589
758	1.602211951	1.602211951
759	1.602116008	1.602116008
760	1.602064149	1.602064149
761	1.602057188	1.602057188
762	1.601952546	1.601952546
763	1.601905	1.601905
764	1.60190419	1.60190419
765	1.601838237	1.601838237
766	1.601816864	1.601816864
767	1.601756683	1.601756683
768	1.601646247	1.601646247
769	1.601597233	1.601597233
770	1.601571971	1.601571971
771	1.601531754	1.601531754
772	1.601511133	1.601511133
773	1.601450508	1.601450508
774	1.601409857	1.601409857
775	1.601231583	1.601231583
776	1.601165819	1.601165819
777	1.601132072	1.601132072
778	1.601104749	1.601104749
779	1.601054586	1.601054586
780	1.601053074	1.601053074
781	1.60102467	1.60102467
782	1.60092709	1.60092709
783	1.600918395	1.600918395
784	1.600901708	1.600901708
785	1.600873788	1.600873788
786	1.600788458	1.600788458
787	1.600706581	1.600706581
788	1.600649437	1.600649437
789	1.600645008	1.600645008
790	1.600612924	1.600612924
791	1.60057236	1.60057236
792	1.600523799	1.600523799
793	1.600437911	1.600437911
794	1.60040847	1.60040847
795	1.600317767	1.600317767
796	1.600237811	1.600237811
797	1.600215065	1.600215065
798	1.600160497	1.600160497
799	1.600160497	1.600160497
800	1.600140615	1.600140615
801	1.600137751	1.600137751
802	1.600018395	1.600018395
803	1.599994566	1.599994566
804	1.599976086	1.599976086
805	1.599943503	1.599943503
806	1.599789006	1.599789006
807	1.599676272	1.599676272
808	1.599642223	1.599642223
809	1.59957207	1.59957207
810	1.599497859	1.599497859
811	1.599421699	1.599421699
812	1.599316399	1.599316399
813	1.599246826	1.599246826
814	1.599231257	1.599231257
815	1.599155733	1.599155733
816	1.599073231	1.599073231
817	1.599020679	1.599020679
818	1.598995645	1.598995645
819	1.598995537	1.598995537
820	1.59895358	1.59895358
821	1.598890425	1.598890425
822	1.598804665	1.598804665
823	1.598770111	1.598770111
824	1.598671312	1.598671312
825	1.598603874	1.598603874
826	1.598553361	1.598553361
827	1.598523453	1.598523453
828	1.598510797	1.598510797
829	1.598404301	1.598404301
830	1.598402192	1.598402192
831	1.598348914	1.598348914
832	1.59823954	1.59823954
833	1.598219579	1.598219579
834	1.59816781	1.59816781
835	1.598134595	1.598134595
836	1.598114038	1.598114038
837	1.598098295	1.598098295
838	1.597988309	1.597988309
839	1.597878424	1.597878424
840	1.597864086	1.597864086
841	1.59783687	1.59783687
842	1.59780262	1.59780262
843	1.597802728	1.597802728
844	1.597741584	1.597741584
845	1.597674702	1.597674702
846	1.597641368	1.597641368
847	1.597617991	1.597617991
848	1.597581788	1.597581788
849	1.597532271	1.597532271
850	1.597478639	1.597478639
851	1.597399082	1.597399082
852	1.597384469	1.597384469
853	1.597384415	1.597384415
854	1.597380734	1.597380734
855	1.597249806	1.597249806
856	1.597215814	1.597215814
857	1.597214298	1.597214298
858	1.597190914	1.597190914
859	1.597093858	1.597093858
860	1.597032524	1.597032524
861	1.596972813	1.596972813
862	1.596971622	1.596971622
863	1.596887599	1.596887599
864	1.596853329	1.596853329
865	1.596846399	1.596846399
866	1.59680877	1.59680877
867	1.59677688	1.59677688
868	1.596763832	1.596763832
869	1.596762911	1.596762911
870	1.596722141	1.596722141
871	1.596716943	1.596716943
872	1.596667995	1.596667995
873	1.596658356	1.596658356
874	1.596643737	1.596643737
875	1.596583956	1.596583956
876	1.596541177	1.596541177
877	1.596453937	1.596453937
878	1.59641695	1.59641695
879	1.596402653	1.596402653
880	1.596282963	1.596282963
881	1.596243914	1.596243914
882	1.596100759	1.596100759
883	1.596099188	1.596099188
884	1.596011924	1.596011924
885	1.596008836	1.596008836
886	1.595941881	1.595941881
887	1.595929043	1.595929043
888	1.595927526	1.595927526
889	1.595922271	1.595922271
890	1.595878012	1.595878012
891	1.595822537	1.595822537
892	1.595781525	1.595781525
893	1.595690343	1.595690343
894	1.595579703	1.595579703
895	1.59551479	1.59551479
896	1.59547014	1.59547014
897	1.595411345	1.595411345
898	1.595314668	1.595314668
899	1.59518422	1.59518422
900	1.595181998	1.595181998
901	1.595152948	1.595152948
902	1.595098315	1.595098315
903	1.595071107	1.595071107
904	1.594986117	1.594986117
905	1.594893642	1.594893642
906	1.594787989	1.594787989
907	1.594758769	1.594758769
908	1.594640746	1.594640746
909	1.594608866	1.594608866
910	1.594583547	1.594583547
911	1.59449094	1.59449094
912	1.594488283	1.594488283
913	1.594486277	1.594486277
914	1.594461064	1.594461064
915	1.594367746	1.594367746
916	1.594327944	1.594327944
917	1.594306579	1.594306579
918	1.594172957	1.594172957
919	1.594058307	1.594058307
920	1.594023325	1.594023325
921	1.594023379	1.594023379
922	1.593854694	1.593854694
923	1.593846015	1.593846015
924	1.593759441	1.593759441
925	1.593698197	1.593698197
926	1.5935757	1.5935757
927	1.593574507	1.593574507
928	1.593569678	1.593569678
929	1.593514828	1.593514828
930	1.593489546	1.593489546
931	1.593487864	1.593487864
932	1.593461279	1.593461279
933	1.59335629	1.59335629
934	1.593305936	1.593305936
935	1.593281193	1.593281193
936	1.593221829	1.593221829
937	1.593081768	1.593081768
938	1.593051051	1.593051051
939	1.592947827	1.592947827
940	1.592926877	1.592926877
941	1.592907447	1.592907447
942	1.592880418	1.592880418
943	1.592878844	1.592878844
944	1.592803996	1.592803996
945	1.592689193	1.592689193
946	1.592582362	1.592582362
947	1.592515209	1.592515209
948	1.592473026	1.592473026
949	1.592472049	1.592472049
950	1.592440561	1.592440561
951	1.592375411	1.592375411
952	1.592308629	1.592308629
953	1.592131508	1.592131508
954	1.592130259	1.592130259
955	1.592019372	1.592019372
956	1.59199336	1.59199336
957	1.591931667	1.591931667
958	1.591819246	1.591819246
959	1.59173468	1.59173468
960	1.591718711	1.591718711
961	1.591663091	1.591663091
962	1.591611435	1.591611435
963	1.591597529	1.591597529
964	1.591538972	1.591538972
965	1.591490896	1.591490896
966	1.591412506	1.591412506
967	1.591370132	1.591370132
968	1.591355137	1.591355137
969	1.591294995	1.591294995
970	1.59124914	1.59124914
971	1.591202523	1.591202523
972	1.591194917	1.591194917
973	1.591096842	1.591096842
974	1.591039516	1.591039516
975	1.591011966	1.591011966
976	1.590999088	1.590999088
977	1.590983329	1.590983329
978	1.590841114	1.590841114
979	1.5907403	1.5907403
980	1.59067133	1.59067133
981	1.590529142	1.590529142
982	1.590495386	1.590495386
983	1.590490277	1.590490277
984	1.590459945	1.590459945
985	1.590371284	1.590371284
986	1.590317139	1.590317139
987	1.590207485	1.590207485
988	1.590141373	1.590141373
989	1.590099182	1.590099182
990	1.590008762	1.590008762
991	1.589968633	1.589968633
992	1.589920565	1.589920565
993	1.589873256	1.589873256
994	1.589841662	1.589841662
995	1.589740459	1.589740459
996	1.589725395	1.589725395
997	1.589696408	1.589696408
